Driver,LapNumber,LapTime,Compound,Stint,IsAccurate
HAM,1.0,0 days 00:01:59.538000,MEDIUM,1.0,False
HAM,2.0,0 days 00:02:22.712000,MEDIUM,1.0,False
HAM,3.0,,MEDIUM,1.0,False
HAM,4.0,0 days 00:01:44.932000,MEDIUM,1.0,False
HAM,5.0,0 days 00:01:45.139000,MEDIUM,1.0,False
HAM,6.0,0 days 00:01:36.169000,MEDIUM,1.0,True
HAM,7.0,0 days 00:01:36.123000,MEDIUM,1.0,True
HAM,8.0,0 days 00:01:36.075000,MEDIUM,1.0,True
HAM,9.0,0 days 00:01:36.148000,MEDIUM,1.0,True
HAM,10.0,0 days 00:01:36.082000,MEDIUM,1.0,True
HAM,11.0,0 days 00:01:36.143000,MEDIUM,1.0,True
HAM,12.0,0 days 00:01:36.507000,MEDIUM,1.0,True
HAM,13.0,0 days 00:01:38.924000,MEDIUM,1.0,False
HAM,14.0,0 days 00:01:55.006000,HARD,2.0,False
HAM,15.0,0 days 00:01:34.057000,HARD,2.0,True
HAM,16.0,0 days 00:01:35.104000,HARD,2.0,True
HAM,17.0,0 days 00:01:35.099000,HARD,2.0,True
HAM,18.0,0 days 00:01:35.266000,HARD,2.0,True
HAM,19.0,0 days 00:01:35.346000,HARD,2.0,True
HAM,20.0,0 days 00:01:35.324000,HARD,2.0,True
HAM,21.0,0 days 00:01:35.837000,HARD,2.0,True
HAM,22.0,0 days 00:01:35.539000,HARD,2.0,True
HAM,23.0,0 days 00:01:35.219000,HARD,2.0,True
HAM,24.0,0 days 00:01:35.087000,HARD,2.0,True
HAM,25.0,0 days 00:01:35.359000,HARD,2.0,True
HAM,26.0,0 days 00:01:35.622000,HARD,2.0,True
HAM,27.0,0 days 00:01:35.940000,HARD,2.0,True
HAM,28.0,0 days 00:01:37.835000,HARD,2.0,False
HAM,29.0,0 days 00:01:55.194000,HARD,3.0,False
HAM,30.0,0 days 00:01:34.365000,HARD,3.0,True
HAM,31.0,0 days 00:01:35.305000,HARD,3.0,True
HAM,32.0,0 days 00:01:34.729000,HARD,3.0,True
HAM,33.0,0 days 00:01:35.041000,HARD,3.0,True
HAM,34.0,0 days 00:01:34.665000,HARD,3.0,True
HAM,35.0,0 days 00:01:34.745000,HARD,3.0,True
HAM,36.0,0 days 00:01:34.754000,HARD,3.0,True
HAM,37.0,0 days 00:01:34.740000,HARD,3.0,True
HAM,38.0,0 days 00:01:34.720000,HARD,3.0,True
HAM,39.0,0 days 00:01:34.816000,HARD,3.0,True
HAM,40.0,0 days 00:01:34.890000,HARD,3.0,True
HAM,41.0,0 days 00:01:34.334000,HARD,3.0,True
HAM,42.0,0 days 00:01:34.199000,HARD,3.0,True
HAM,43.0,0 days 00:01:34.163000,HARD,3.0,True
HAM,44.0,0 days 00:01:34.015000,HARD,3.0,True
HAM,45.0,0 days 00:01:34.583000,HARD,3.0,True
HAM,46.0,0 days 00:01:34.492000,HARD,3.0,True
HAM,47.0,0 days 00:01:34.591000,HARD,3.0,True
HAM,48.0,0 days 00:01:34.167000,HARD,3.0,True
HAM,49.0,0 days 00:01:34.136000,HARD,3.0,True
HAM,50.0,0 days 00:01:34.354000,HARD,3.0,True
HAM,51.0,0 days 00:01:34.579000,HARD,3.0,True
HAM,52.0,0 days 00:01:34.939000,HARD,3.0,True
HAM,53.0,0 days 00:01:36.155000,HARD,3.0,True
HAM,54.0,0 days 00:01:34.814000,HARD,3.0,True
HAM,55.0,0 days 00:01:34.706000,HARD,3.0,True
HAM,56.0,0 days 00:01:34.918000,HARD,3.0,True
VER,1.0,0 days 00:01:58.245000,MEDIUM,1.0,False
VER,2.0,0 days 00:02:22.406000,MEDIUM,1.0,False
VER,3.0,,MEDIUM,1.0,False
VER,4.0,0 days 00:01:44.343000,MEDIUM,1.0,False
VER,5.0,0 days 00:01:44.629000,MEDIUM,1.0,False
VER,6.0,0 days 00:01:35.982000,MEDIUM,1.0,True
VER,7.0,0 days 00:01:35.902000,MEDIUM,1.0,True
VER,8.0,0 days 00:01:36.032000,MEDIUM,1.0,True
VER,9.0,0 days 00:01:36.012000,MEDIUM,1.0,True
VER,10.0,0 days 00:01:36.175000,MEDIUM,1.0,True
VER,11.0,0 days 00:01:36.179000,MEDIUM,1.0,True
VER,12.0,0 days 00:01:36.592000,MEDIUM,1.0,True
VER,13.0,0 days 00:01:36.291000,MEDIUM,1.0,True
VER,14.0,0 days 00:01:36.880000,MEDIUM,1.0,True
VER,15.0,0 days 00:01:36.924000,MEDIUM,1.0,True
VER,16.0,0 days 00:01:37.033000,MEDIUM,1.0,True
VER,17.0,0 days 00:01:39.153000,MEDIUM,1.0,False
VER,18.0,0 days 00:01:55.532000,MEDIUM,2.0,False
VER,19.0,0 days 00:01:34.421000,MEDIUM,2.0,True
VER,20.0,0 days 00:01:34.870000,MEDIUM,2.0,True
VER,21.0,0 days 00:01:34.829000,MEDIUM,2.0,True
VER,22.0,0 days 00:01:35.159000,MEDIUM,2.0,True
VER,23.0,0 days 00:01:35.122000,MEDIUM,2.0,True
VER,24.0,0 days 00:01:35.207000,MEDIUM,2.0,True
VER,25.0,0 days 00:01:35.044000,MEDIUM,2.0,True
VER,26.0,0 days 00:01:34.958000,MEDIUM,2.0,True
VER,27.0,0 days 00:01:35.118000,MEDIUM,2.0,True
VER,28.0,0 days 00:01:35.126000,MEDIUM,2.0,True
VER,29.0,0 days 00:01:35.282000,MEDIUM,2.0,True
VER,30.0,0 days 00:01:35.476000,MEDIUM,2.0,True
VER,31.0,0 days 00:01:35.054000,MEDIUM,2.0,True
VER,32.0,0 days 00:01:35.378000,MEDIUM,2.0,True
VER,33.0,0 days 00:01:35.286000,MEDIUM,2.0,True
VER,34.0,0 days 00:01:35.638000,MEDIUM,2.0,True
VER,35.0,0 days 00:01:35.593000,MEDIUM,2.0,True
VER,36.0,0 days 00:01:35.721000,MEDIUM,2.0,True
VER,37.0,0 days 00:01:35.620000,MEDIUM,2.0,True
VER,38.0,0 days 00:01:35.921000,MEDIUM,2.0,True
VER,39.0,0 days 00:01:37.828000,MEDIUM,2.0,False
VER,40.0,0 days 00:01:53.437000,HARD,3.0,False
VER,41.0,0 days 00:01:33.228000,HARD,3.0,True
VER,42.0,0 days 00:01:33.450000,HARD,3.0,True
VER,43.0,0 days 00:01:33.231000,HARD,3.0,True
VER,44.0,0 days 00:01:33.594000,HARD,3.0,True
VER,45.0,0 days 00:01:34.056000,HARD,3.0,True
VER,46.0,0 days 00:01:33.894000,HARD,3.0,True
VER,47.0,0 days 00:01:34.092000,HARD,3.0,True
